recall,precision
0.0267969,0.334375
0.0267969,0.333333
0.0267969,0.332298
0.0267969,0.331269
0.0267969,0.330247
0.0267969,0.329231
0.0267969,0.328221
0.0267969,0.327217
0.0267969,0.326219
0.0267969,0.325228
0.0267969,0.324242
0.0270473,0.326284
0.0272978,0.328313
0.0272978,0.327327
0.0272978,0.326347
0.0272978,0.325373
0.0272978,0.324405
0.0272978,0.323442
0.0272978,0.322485
0.0272978,0.321534
0.0272978,0.320588
